age,gender,location,income,education,pre_theatre,post_theatre,pre_ott_subs,post_ott_subs,pre_spend,post_spend,pre_ott_hrs,post_ott_hrs
45-54,Male,Salem,25-50k,UG,6.0,4.0,2,8,252.0,352.0,0.0,6.9
45-54,Male,Coimbatore,25-50k,UG,2.0,0.0,1,1,75.0,59.0,12.6,23.6
18-24,Male,Chennai,25-50k,UG,1.0,0.0,1,2,315.0,329.0,0.0,10.4
18-24,Male,Rural,<25k,UG,3.0,2.0,0,4,393.0,665.0,10.2,17.2
18-24,Male,Rural,50k-1L,UG,3.0,2.0,2,3,168.0,172.0,6.4,11.2
18-24,Male,Other Tier-2/3,25-50k,PG,2.0,0.0,2,6,414.0,464.0,0.0,3.8
25-34,Female,Rural,50k-1L,UG,3.0,2.0,1,3,56.0,54.0,8.2,13.0
25-34,Male,Other Tier-2/3,<25k,UG,5.0,3.0,1,2,335.0,423.0,11.1,18.6
18-24,Male,Other Tier-2/3,>2L,School,2.0,0.0,0,0,956.0,952.0,7.9,11.1
25-34,Female,Other Tier-2/3,25-50k,UG,1.0,0.0,3,4,733.0,831.0,8.8,17.0
25-34,Female,Madurai,1-2L,PG,5.0,4.0,3,4,672.0,936.0,4.7,17.3
18-24,Male,Madurai,25-50k,UG,4.0,1.0,3,4,339.0,341.0,0.0,5.6
45-54,Male,Chennai,<25k,UG,2.0,1.0,0,1,190.0,262.0,9.2,10.7
18-24,Female,Salem,1-2L,PG,1.0,0.0,0,1,301.0,417.0,13.6,15.1
45-54,Male,Coimbatore,50k-1L,UG,2.0,1.0,2,3,608.0,878.0,11.0,19.3
18-24,Male,Chennai,50k-1L,School,3.0,1.0,2,5,863.0,1049.0,0.0,5.6
45-54,Female,Tiruchirappalli,25-50k,UG,5.0,1.0,0,2,873.0,1738.0,0.2,8.8
45-54,Male,Madurai,50k-1L,School,1.0,0.0,2,5,797.0,1151.0,2.9,7.0
55+,Female,Chennai,1-2L,PG,3.0,3.0,4,5,413.0,521.0,0.0,8.5
35-44,Female,Other Tier-2/3,50k-1L,UG,4.0,1.0,1,2,627.0,603.0,6.6,11.9
35-44,Female,Other Tier-2/3,25-50k,School,0.0,0.0,1,4,530.0,613.0,8.0,11.5
35-44,Male,Chennai,50k-1L,School,5.0,3.0,1,2,564.0,867.0,0.5,5.0
35-44,Male,Chennai,50k-1L,UG,1.0,0.0,1,4,1190.0,1913.0,9.6,11.6
18-24,Male,Coimbatore,>2L,School,4.0,2.0,0,0,127.0,197.0,8.9,21.1
25-34,Male,Other Tier-2/3,25-50k,PG,3.0,2.0,0,1,554.0,762.0,4.2,9.7
25-34,Female,Other Tier-2/3,25-50k,School,5.0,4.0,2,3,959.0,831.0,5.7,13.6
45-54,Male,Chennai,1-2L,UG,4.0,2.0,2,4,210.0,273.0,0.0,4.1
25-34,Female,Other Tier-2/3,25-50k,UG,0.0,0.0,1,1,440.0,383.0,5.0,7.4
25-34,Female,Chennai,50k-1L,UG,2.0,1.0,0,0,472.0,381.0,6.4,11.5
35-44,Female,Coimbatore,25-50k,School,3.0,2.0,1,2,557.0,691.0,7.1,16.4
18-24,Male,Rural,<25k,PG,3.0,3.0,4,4,173.0,227.0,8.0,12.1
18-24,Male,Chennai,50k-1L,PG,4.0,3.0,1,2,787.0,1106.0,7.4,10.4
25-34,Other,Chennai,<25k,School,4.0,2.0,0,2,807.0,1053.0,5.3,11.6
25-34,Female,Madurai,<25k,School,4.0,3.0,1,1,762.0,1000.0,7.6,15.0
18-24,Female,Salem,50k-1L,PG,3.0,2.0,0,1,376.0,351.0,10.5,21.6
25-34,Female,Rural,50k-1L,UG,0.0,0.0,0,3,644.0,743.0,6.0,12.9
25-34,Female,Rural,1-2L,School,2.0,1.0,1,4,368.0,296.0,7.7,15.6
25-34,Male,Chennai,25-50k,UG,4.0,2.0,0,1,527.0,358.0,5.6,13.7
25-34,Female,Chennai,<25k,PG,1.0,0.0,0,0,1223.0,1670.0,3.7,5.8
35-44,Male,Other Tier-2/3,>2L,PG,4.0,3.0,1,4,647.0,642.0,8.5,11.2
25-34,Female,Coimbatore,<25k,UG,5.0,3.0,1,2,287.0,401.0,4.1,6.4
55+,Female,Other Tier-2/3,<25k,Professional,3.0,2.0,1,3,670.0,976.0,8.0,9.5
45-54,Male,Salem,25-50k,UG,0.0,0.0,2,7,241.0,247.0,6.5,14.8
25-34,Male,Chennai,25-50k,UG,1.0,0.0,0,0,284.0,377.0,5.2,11.9
25-34,Male,Other Tier-2/3,1-2L,UG,6.0,4.0,0,1,328.0,333.0,5.1,11.2
25-34,Female,Chennai,50k-1L,UG,2.0,2.0,4,6,496.0,356.0,4.3,1.8
45-54,Male,Madurai,50k-1L,UG,0.0,0.0,2,4,882.0,1068.0,0.0,12.4
35-44,Male,Tiruchirappalli,<25k,School,5.0,2.0,0,0,782.0,831.0,8.0,10.9
35-44,Male,Madurai,25-50k,UG,3.0,2.0,0,0,766.0,820.0,7.3,19.7
25-34,Male,Tirunelveli,25-50k,PG,5.0,2.0,3,5,312.0,522.0,9.9,11.1
35-44,Male,Salem,<25k,School,4.0,3.0,0,2,468.0,374.0,4.2,7.4
25-34,Male,Rural,25-50k,UG,4.0,4.0,2,2,696.0,888.0,14.2,13.0
35-44,Male,Rural,25-50k,PG,4.0,2.0,1,3,444.0,413.0,4.8,11.8
18-24,Male,Tiruchirappalli,<25k,UG,4.0,4.0,1,4,542.0,763.0,2.8,5.1
35-44,Male,Chennai,50k-1L,PG,7.0,6.0,4,6,744.0,933.0,2.3,4.7
45-54,Male,Tirunelveli,50k-1L,PG,5.0,2.0,2,5,522.0,665.0,0.0,1.4
18-24,Male,Rural,<25k,PG,1.0,1.0,3,4,683.0,645.0,12.7,21.0
25-34,Female,Coimbatore,25-50k,School,4.0,4.0,0,3,1066.0,1054.0,12.0,20.1
18-24,Male,Madurai,50k-1L,UG,5.0,4.0,1,2,572.0,808.0,8.9,20.5
35-44,Male,Madurai,50k-1L,UG,5.0,3.0,0,3,950.0,1542.0,2.7,6.3
18-24,Male,Chennai,1-2L,UG,2.0,1.0,2,2,777.0,1010.0,13.8,20.3
45-54,Male,Tirunelveli,25-50k,School,5.0,2.0,3,5,209.0,200.0,5.0,6.7
18-24,Male,Coimbatore,1-2L,UG,5.0,2.0,2,2,311.0,393.0,5.3,10.0
55+,Male,Other Tier-2/3,25-50k,UG,7.0,5.0,0,1,387.0,692.0,12.3,16.4
35-44,Female,Other Tier-2/3,25-50k,UG,2.0,0.0,2,3,381.0,459.0,9.1,16.4
25-34,Male,Other Tier-2/3,<25k,School,2.0,0.0,2,4,595.0,920.0,15.4,24.5
35-44,Male,Madurai,25-50k,PG,3.0,2.0,0,1,792.0,788.0,7.4,16.4
35-44,Male,Coimbatore,25-50k,Professional,2.0,0.0,6,6,971.0,1136.0,4.8,7.9
55+,Male,Other Tier-2/3,25-50k,UG,2.0,2.0,0,1,706.0,942.0,3.9,12.9
18-24,Male,Other Tier-2/3,50k-1L,Professional,0.0,0.0,2,4,495.0,633.0,0.0,5.7
25-34,Female,Madurai,25-50k,School,2.0,0.0,1,1,50.0,50.0,5.3,10.1
18-24,Female,Other Tier-2/3,25-50k,Professional,4.0,2.0,1,5,640.0,626.0,11.1,14.6
25-34,Male,Chennai,<25k,Professional,2.0,1.0,1,3,627.0,895.0,8.9,12.9
18-24,Male,Other Tier-2/3,25-50k,School,6.0,4.0,0,2,671.0,992.0,6.5,17.9
25-34,Male,Chennai,25-50k,PG,3.0,4.0,2,4,1210.0,1885.0,2.3,9.1
25-34,Male,Chennai,25-50k,Professional,5.0,3.0,0,0,967.0,1577.0,7.3,13.7
25-34,Female,Tiruchirappalli,25-50k,PG,4.0,3.0,1,3,840.0,1019.0,10.6,15.6
25-34,Male,Chennai,50k-1L,Professional,4.0,2.0,2,3,351.0,387.0,8.2,21.8
35-44,Male,Chennai,1-2L,UG,4.0,2.0,1,1,476.0,722.0,7.1,17.1
35-44,Female,Chennai,25-50k,School,5.0,3.0,0,2,593.0,805.0,3.1,6.6
25-34,Male,Madurai,50k-1L,PG,3.0,3.0,3,5,403.0,377.0,10.0,14.9
25-34,Male,Other Tier-2/3,1-2L,UG,4.0,3.0,0,2,760.0,700.0,0.0,5.1
45-54,Female,Chennai,>2L,UG,4.0,2.0,1,2,720.0,938.0,8.0,14.3
18-24,Male,Salem,50k-1L,UG,3.0,1.0,1,2,315.0,358.0,16.9,20.5
18-24,Male,Other Tier-2/3,1-2L,UG,4.0,2.0,3,6,955.0,1121.0,0.2,7.4
18-24,Male,Chennai,1-2L,School,7.0,4.0,1,3,649.0,940.0,5.4,15.8
35-44,Female,Chennai,50k-1L,PG,3.0,2.0,3,5,136.0,186.0,6.4,8.0
25-34,Male,Other Tier-2/3,25-50k,School,4.0,2.0,2,4,606.0,917.0,4.5,6.7
35-44,Male,Other Tier-2/3,<25k,PG,5.0,2.0,1,3,699.0,487.0,10.6,14.9
35-44,Male,Tiruchirappalli,<25k,PG,5.0,5.0,3,4,892.0,1109.0,8.3,12.7
25-34,Male,Other Tier-2/3,25-50k,UG,3.0,1.0,1,3,526.0,712.0,7.0,19.2
45-54,Female,Chennai,25-50k,UG,0.0,0.0,1,2,852.0,680.0,9.7,18.7
35-44,Male,Coimbatore,25-50k,UG,4.0,3.0,0,1,672.0,683.0,6.5,15.3
18-24,Female,Other Tier-2/3,50k-1L,Professional,0.0,0.0,1,7,252.0,244.0,19.4,24.4
25-34,Female,Chennai,50k-1L,PG,5.0,4.0,1,4,224.0,266.0,7.0,11.9
25-34,Female,Other Tier-2/3,1-2L,UG,3.0,0.0,0,2,934.0,1482.0,7.2,8.4
18-24,Male,Madurai,<25k,School,5.0,5.0,1,3,955.0,1610.0,0.0,8.3
18-24,Female,Other Tier-2/3,25-50k,UG,2.0,2.0,2,2,710.0,693.0,4.2,11.6
45-54,Female,Madurai,50k-1L,UG,1.0,1.0,3,4,1039.0,1363.0,11.1,21.0
25-34,Male,Coimbatore,1-2L,Professional,4.0,1.0,2,7,916.0,1209.0,0.9,6.0
25-34,Female,Chennai,>2L,PG,3.0,2.0,1,3,811.0,1036.0,0.0,5.3
35-44,Female,Chennai,1-2L,UG,2.0,0.0,1,4,365.0,467.0,6.5,12.8
25-34,Male,Other Tier-2/3,1-2L,PG,3.0,2.0,0,1,1105.0,1388.0,12.0,20.7
45-54,Female,Chennai,25-50k,UG,8.0,7.0,4,5,770.0,1233.0,6.6,7.7
35-44,Male,Chennai,25-50k,PG,4.0,3.0,0,2,512.0,745.0,5.0,13.2
25-34,Female,Chennai,25-50k,UG,5.0,1.0,0,2,433.0,396.0,0.0,5.7
25-34,Female,Chennai,50k-1L,UG,4.0,1.0,1,2,692.0,954.0,8.3,10.7
55+,Male,Other Tier-2/3,1-2L,Professional,5.0,4.0,1,3,152.0,213.0,9.1,8.2
35-44,Female,Coimbatore,25-50k,UG,3.0,1.0,0,1,816.0,1027.0,0.0,5.4
55+,Male,Rural,50k-1L,PG,0.0,0.0,0,1,353.0,516.0,11.1,21.5
18-24,Female,Chennai,25-50k,Doctoral,3.0,3.0,0,1,724.0,888.0,9.5,20.7
45-54,Female,Salem,<25k,School,4.0,1.0,0,1,474.0,583.0,11.0,17.9
35-44,Male,Madurai,<25k,School,2.0,0.0,1,3,546.0,661.0,8.8,20.9
18-24,Male,Coimbatore,<25k,PG,3.0,0.0,2,3,408.0,276.0,9.1,14.8
25-34,Male,Other Tier-2/3,>2L,UG,2.0,1.0,1,1,575.0,667.0,8.5,17.4
35-44,Male,Rural,25-50k,School,6.0,5.0,0,1,1149.0,1164.0,10.0,14.4
18-24,Male,Other Tier-2/3,1-2L,UG,4.0,2.0,0,3,1008.0,890.0,0.0,4.2
25-34,Male,Chennai,50k-1L,PG,4.0,2.0,2,3,719.0,1106.0,0.2,3.8
45-54,Male,Chennai,<25k,UG,4.0,3.0,2,4,613.0,801.0,3.4,2.6
25-34,Male,Salem,<25k,UG,3.0,3.0,3,3,856.0,1004.0,5.9,15.8
25-34,Female,Coimbatore,1-2L,PG,3.0,1.0,0,3,936.0,972.0,8.0,11.7
25-34,Female,Other Tier-2/3,25-50k,UG,1.0,0.0,0,1,388.0,487.0,7.7,10.9
